"Depth bin (m)","Efflux (Pg CO2)"
-3128,NA
-3127,NA
-3126,NA
-3125,NA
-3124,NA
-3123,NA
-3122,NA
-3121,NA
-3120,NA
-3119,NA
-3118,NA
-3117,NA
-3116,NA
-3115,NA
-3114,NA
-3113,NA
-3112,NA
-3111,NA
-3110,NA
-3109,NA
-3108,NA
-3107,NA
-3106,NA
-3105,NA
-3104,NA
-3103,NA
-3102,NA
-3101,NA
-3100,NA
-3099,NA
-3098,NA
-3097,NA
-3096,NA
-3095,NA
-3094,NA
-3093,NA
-3092,NA
-3091,NA
-3090,NA
-3089,NA
-3088,NA
-3087,NA
-3086,NA
-3085,NA
-3084,NA
-3083,NA
-3082,NA
-3081,NA
-3080,NA
-3079,NA
-3078,NA
-3077,NA
-3076,NA
-3075,NA
-3074,NA
-3073,NA
-3072,NA
-3071,NA
-3070,NA
-3069,NA
-3068,NA
-3067,6.57296005365979e-07
-3066,NA
-3065,NA
-3064,NA
-3063,NA
-3062,NA
-3061,NA
-3060,NA
-3059,NA
-3058,NA
-3057,NA
-3056,NA
-3055,NA
-3054,NA
-3053,NA
-3052,NA
-3051,NA
-3050,NA
-3049,4.08278574015329e-07
-3048,NA
-3047,NA
-3046,NA
-3045,NA
-3044,NA
-3043,NA
-3042,NA
-3041,NA
-3040,NA
-3039,NA
-3038,NA
-3037,NA
-3036,NA
-3035,NA
-3034,NA
-3033,NA
-3032,NA
-3031,NA
-3030,NA
-3029,NA
-3028,NA
-3027,NA
-3026,NA
-3025,NA
-3024,1.83304671299312e-09
-3023,NA
-3022,NA
-3021,NA
-3020,NA
-3019,NA
-3018,NA
-3017,NA
-3016,NA
-3015,NA
-3014,NA
-3013,NA
-3012,NA
-3011,NA
-3010,NA
-3009,NA
-3008,NA
-3007,NA
-3006,NA
-3005,NA
-3004,NA
-3003,NA
-3002,NA
-3001,NA
-3000,NA
-2999,NA
-2998,NA
-2997,NA
-2996,NA
-2995,NA
-2994,NA
-2993,NA
-2992,NA
-2991,NA
-2990,NA
-2989,NA
-2988,3.33672659301619e-07
-2987,NA
-2986,NA
-2985,NA
-2984,NA
-2983,NA
-2982,NA
-2981,NA
-2980,NA
-2979,NA
-2978,NA
-2977,NA
-2976,NA
-2975,NA
-2974,NA
-2973,NA
-2972,NA
-2971,NA
-2970,NA
-2969,NA
-2968,NA
-2967,NA
-2966,NA
-2965,NA
-2964,NA
-2963,NA
-2962,NA
-2961,NA
-2960,NA
-2959,NA
-2958,NA
-2957,NA
-2956,NA
-2955,NA
-2954,NA
-2953,NA
-2952,NA
-2951,NA
-2950,NA
-2949,NA
-2948,NA
-2947,NA
-2946,NA
-2945,NA
-2944,NA
-2943,NA
-2942,NA
-2941,NA
-2940,NA
-2939,NA
-2938,NA
-2937,NA
-2936,NA
-2935,NA
-2934,NA
-2933,NA
-2932,NA
-2931,NA
-2930,NA
-2929,NA
-2928,NA
-2927,NA
-2926,NA
-2925,NA
-2924,NA
-2923,NA
-2922,NA
-2921,NA
-2920,NA
-2919,NA
-2918,NA
-2917,1.03424001738501e-06
-2916,NA
-2915,NA
-2914,NA
-2913,NA
-2912,NA
-2911,NA
-2910,NA
-2909,NA
-2908,NA
-2907,NA
-2906,NA
-2905,NA
-2904,NA
-2903,NA
-2902,NA
-2901,NA
-2900,NA
-2899,NA
-2898,NA
-2897,NA
-2896,NA
-2895,NA
-2894,NA
-2893,NA
-2892,NA
-2891,NA
-2890,NA
-2889,NA
-2888,NA
-2887,3.24319938176497e-09
-2886,NA
-2885,NA
-2884,NA
-2883,NA
-2882,NA
-2881,NA
-2880,NA
-2879,NA
-2878,NA
-2877,NA
-2876,NA
-2875,NA
-2874,NA
-2873,NA
-2872,1.30185485557868e-07
-2871,NA
-2870,NA
-2869,1.92129576592297e-07
-2868,NA
-2867,5.11572995225246e-08
-2866,NA
-2865,NA
-2864,NA
-2863,NA
-2862,NA
-2861,1.5848626847922e-07
-2860,NA
-2859,NA
-2858,NA
-2857,NA
-2856,NA
-2855,NA
-2854,6.12671691680493e-10
-2853,NA
-2852,NA
-2851,NA
-2850,NA
-2849,NA
-2848,NA
-2847,NA
-2846,NA
-2845,NA
-2844,NA
-2843,NA
-2842,NA
-2841,NA
-2840,NA
-2839,NA
-2838,NA
-2837,NA
-2836,NA
-2835,NA
-2834,NA
-2833,NA
-2832,NA
-2831,NA
-2830,NA
-2829,NA
-2828,NA
-2827,NA
-2826,NA
-2825,NA
-2824,NA
-2823,NA
-2822,NA
-2821,NA
-2820,NA
-2819,NA
-2818,NA
-2817,NA
-2816,NA
-2815,NA
-2814,NA
-2813,NA
-2812,NA
-2811,NA
-2810,NA
-2809,NA
-2808,NA
-2807,1.54158413004743e-08
-2806,1.22119218242493e-08
-2805,NA
-2804,NA
-2803,NA
-2802,NA
-2801,NA
-2800,NA
-2799,NA
-2798,NA
-2797,NA
-2796,NA
-2795,NA
-2794,NA
-2793,NA
-2792,NA
-2791,NA
-2790,NA
-2789,NA
-2788,NA
-2787,NA
-2786,3.36185893693932e-07
-2785,NA
-2784,NA
-2783,5.34641352032753e-09
-2782,NA
-2781,NA
-2780,NA
-2779,2.1674123592292e-07
-2778,NA
-2777,NA
-2776,NA
-2775,NA
-2774,NA
-2773,NA
-2772,NA
-2771,NA
-2770,3.10838808100159e-07
-2769,NA
-2768,NA
-2767,NA
-2766,NA
-2765,NA
-2764,NA
-2763,NA
-2762,NA
-2761,NA
-2760,NA
-2759,NA
-2758,NA
-2757,NA
-2756,NA
-2755,NA
-2754,NA
-2753,NA
-2752,NA
-2751,NA
-2750,NA
-2749,NA
-2748,7.82566243827286e-07
-2747,NA
-2746,NA
-2745,NA
-2744,NA
-2743,NA
-2742,NA
-2741,NA
-2740,NA
-2739,1.38140739384396e-08
-2738,NA
-2737,NA
-2736,NA
-2735,NA
-2734,NA
-2733,NA
-2732,NA
-2731,NA
-2730,NA
-2729,NA
-2728,NA
-2727,NA
-2726,NA
-2725,NA
-2724,NA
-2723,NA
-2722,NA
-2721,9.02758556650739e-09
-2720,NA
-2719,NA
-2718,1.42074796863623e-08
-2717,NA
-2716,NA
-2715,NA
-2714,NA
-2713,1.79150450142117e-06
-2712,NA
-2711,5.53276497898895e-08
-2710,NA
-2709,NA
-2708,NA
-2707,NA
-2706,6.46381755958162e-07
-2705,3.12972601915323e-09
-2704,NA
-2703,NA
-2702,NA
-2701,NA
-2700,NA
-2699,NA
-2698,NA
-2697,1.51408899482161e-06
-2696,NA
-2695,NA
-2694,NA
-2693,NA
-2692,NA
-2691,NA
-2690,NA
-2689,1.07264445520522e-09
-2688,2.312800838197e-08
-2687,NA
-2686,NA
-2685,NA
-2684,3.03487770058155e-08
-2683,4.42453611273052e-09
-2682,7.26768107109242e-07
-2681,NA
-2680,NA
-2679,NA
-2678,NA
-2677,NA
-2676,5.40210764404725e-10
-2675,4.87784910375657e-09
-2674,NA
-2673,NA
-2672,NA
-2671,NA
-2670,1.74055439343283e-07
-2669,NA
-2668,NA
-2667,NA
-2666,NA
-2665,NA
-2664,NA
-2663,1.7112961406147e-08
-2662,NA
-2661,8.68804145606368e-08
-2660,NA
-2659,NA
-2658,NA
-2657,NA
-2656,3.20387667046563e-08
-2655,NA
-2654,7.07293252155437e-08
-2653,NA
-2652,NA
-2651,NA
-2650,5.98492737785443e-08
-2649,NA
-2648,NA
-2647,1.6144560217604e-08
-2646,NA
-2645,NA
-2644,NA
-2643,7.65825597588237e-09
-2642,NA
-2641,NA
-2640,NA
-2639,NA
-2638,NA
-2637,NA
-2636,NA
-2635,1.33191752355297e-08
-2634,1.13630408448098e-06
-2633,NA
-2632,5.02562641058851e-09
-2631,NA
-2630,NA
-2629,NA
-2628,NA
-2627,NA
-2626,1.27496267028614e-09
-2625,NA
-2624,NA
-2623,NA
-2622,NA
-2621,3.00083091237677e-06
-2620,6.95578864836202e-08
-2619,2.25870301952462e-08
-2618,NA
-2617,NA
-2616,1.86561106946387e-08
-2615,8.4885744459991e-09
-2614,NA
-2613,NA
-2612,NA
-2611,NA
-2610,3.08353435760049e-08
-2609,5.91307276834249e-10
-2608,4.43753357353699e-09
-2607,NA
-2606,NA
-2605,NA
-2604,NA
-2603,NA
-2602,2.89128846260327e-06
-2601,NA
-2600,3.02529867107001e-07
-2599,NA
-2598,NA
-2597,NA
-2596,NA
-2595,NA
-2594,8.66135897735188e-08
-2593,2.29550664520081e-08
-2592,NA
-2591,NA
-2590,NA
-2589,NA
-2588,NA
-2587,8.66858865357109e-08
-2586,NA
-2585,NA
-2584,NA
-2583,NA
-2582,NA
-2581,NA
-2580,2.21407959776458e-08
-2579,8.27387291616616e-08
-2578,3.75971483697382e-10
-2577,NA
-2576,NA
-2575,NA
-2574,NA
-2573,9.16053076102029e-09
-2572,5.60094672526912e-08
-2571,5.28088194189842e-08
-2570,NA
-2569,NA
-2568,NA
-2567,6.5627835538102e-07
-2566,NA
-2565,3.30554367999939e-08
-2564,NA
-2563,NA
-2562,1.86319229422414e-08
-2561,NA
-2560,9.22309912325355e-08
-2559,5.09291504884547e-07
-2558,NA
-2557,6.23298404642946e-08
-2556,NA
-2555,NA
-2554,5.48132478690463e-08
-2553,NA
-2552,4.26911964345662e-08
-2551,2.9420299183317e-07
-2550,NA
-2549,2.84547114990759e-06
-2548,NA
-2547,NA
-2546,NA
-2545,2.08361697073193e-09
-2544,NA
-2543,1.54932143760094e-08
-2542,NA
-2541,5.46476644802099e-08
-2540,NA
-2539,NA
-2538,NA
-2537,NA
-2536,NA
-2535,NA
-2534,NA
-2533,8.67418079088775e-08
-2532,NA
-2531,2.29969494723758e-08
-2530,1.18776230016344e-08
-2529,NA
-2528,NA
-2527,3.08800647681179e-08
-2526,NA
-2525,5.31447559366511e-08
-2524,3.22430446989801e-09
-2523,NA
-2522,2.75290916855442e-08
-2521,3.8333753352763e-08
-2520,5.76018337537774e-07
-2519,NA
-2518,NA
-2517,NA
-2516,2.88170594200723e-06
-2515,NA
-2514,NA
-2513,3.12209934866437e-08
-2512,NA
-2511,NA
-2510,NA
-2509,1.06167368887037e-08
-2508,NA
-2507,NA
-2506,NA
-2505,1.20933394776731e-06
-2504,1.44584846640692e-08
-2503,1.18857064612084e-07
-2502,NA
-2501,6.48489764716525e-10
-2500,7.62111140316613e-08
-2499,5.35451640072466e-07
-2498,2.73020860815818e-07
-2497,NA
-2496,9.38943247690457e-09
-2495,3.26609442521511e-08
-2494,NA
-2493,NA
-2492,NA
-2491,5.7931905549301e-08
-2490,NA
-2489,7.73123646430767e-08
-2488,NA
-2487,2.86964866889682e-07
-2486,5.4351084860154e-07
-2485,1.11092071559301e-07
-2484,1.04909825308458e-08
-2483,8.29665066017665e-08
-2482,2.57603164876706e-09
-2481,7.5309971184225e-09
-2480,2.67120913030303e-08
-2479,2.50575620950679e-08
-2478,NA
-2477,NA
-2476,NA
-2475,NA
-2474,9.07647490697282e-09
-2473,3.81866148011331e-08
-2472,NA
-2471,NA
-2470,NA
-2469,NA
-2468,2.77389781504133e-08
-2467,NA
-2466,3.9987961933929e-09
-2465,NA
-2464,6.214328738551e-07
-2463,NA
-2462,NA
-2461,NA
-2460,NA
-2459,NA
-2458,NA
-2457,NA
-2456,NA
-2455,1.20882914627678e-08
-2454,NA
-2453,NA
-2452,NA
-2451,9.44109003417789e-09
-2450,4.05675477509166e-08
-2449,NA
-2448,1.36739863448199e-07
-2447,NA
-2446,NA
-2445,NA
-2444,NA
-2443,4.84212128508172e-09
-2442,2.91488478264795e-06
-2441,NA
-2440,4.9121594854966e-07
-2439,NA
-2438,NA
-2437,2.99895850518514e-08
-2436,3.4720767383407e-08
-2435,1.5277165630674e-08
-2434,NA
-2433,NA
-2432,3.60335850437824e-08
-2431,NA
-2430,NA
-2429,1.16100358056345e-06
-2428,1.89620998367304e-09
-2427,NA
-2426,3.44671707418295e-08
-2425,4.51299954423158e-08
-2424,NA
-2423,NA
-2422,NA
-2421,NA
-2420,NA
-2419,NA
-2418,NA
-2417,NA
-2416,NA
-2415,1.86967894907271e-07
-2414,NA
-2413,NA
-2412,6.51971313686506e-09
-2411,NA
-2410,8.32845259110961e-09
-2409,NA
-2408,1.51614366377301e-09
-2407,4.38433542532718e-08
-2406,6.44075160539309e-10
-2405,NA
-2404,NA
-2403,NA
-2402,3.05781958885583e-08
-2401,NA
-2400,NA
-2399,1.29039510423152e-08
-2398,3.22190414110904e-09
-2397,5.08752029063383e-09
-2396,1.07291369843446e-08
-2395,8.78100224052131e-08
-2394,NA
-2393,7.7818192139359e-07
-2392,8.71663578655823e-08
-2391,6.71220026813267e-08
-2390,NA
-2389,NA
-2388,NA
-2387,NA
-2386,NA
-2385,6.1979866322526e-07
-2384,NA
-2383,NA
-2382,NA
-2381,1.25720615010556e-05
-2380,1.04564333799961e-08
-2379,1.88267487440995e-10
-2378,NA
-2377,1.00320263728747e-07
-2376,NA
-2375,6.78732450063017e-08
-2374,3.95141549361191e-07
-2373,5.90457313935079e-08
-2372,1.31211222146209e-06
-2371,NA
-2370,NA
-2369,NA
-2368,3.61815197492235e-08
-2367,NA
-2366,1.63043639440878e-07
-2365,NA
-2364,NA
-2363,1.06510247807642e-06
-2362,NA
-2361,2.92771513110258e-06
-2360,NA
-2359,2.7891615826359e-07
-2358,2.28785925888972e-08
-2357,3.37472049362399e-09
-2356,2.56561964749456e-08
-2355,8.88229502445194e-07
-2354,6.10265171046768e-08
-2353,2.47013398947551e-08
-2352,2.35727566401087e-07
-2351,7.69900160391996e-09
-2350,1.07667831572541e-06
-2349,NA
-2348,4.37583563394009e-07
-2347,1.00933200895251e-06
-2346,NA
-2345,1.41990321279952e-07
-2344,3.28755660000435e-08
-2343,1.12517724201845e-06
-2342,NA
-2341,NA
-2340,5.88171986066386e-08
-2339,4.84708114011002e-07
-2338,2.87059898173726e-09
-2337,1.41527388027641e-08
-2336,NA
-2335,8.72769588534812e-06
-2334,NA
-2333,8.43236740112344e-06
-2332,3.76024361093876e-09
-2331,NA
-2330,4.23906433740669e-09
-2329,NA
-2328,8.65578881546272e-09
-2327,NA
-2326,6.02551056886182e-07
-2325,NA
-2324,3.55455838909321e-06
-2323,3.15299831958711e-09
-2322,1.39010526388545e-07
-2321,2.46897100529745e-06
-2320,2.70470294924325e-08
-2319,NA
-2318,NA
-2317,9.64849543060111e-08
-2316,4.96332212824387e-08
-2315,1.47205072112952e-07
-2314,1.45667272711576e-06
-2313,3.51636217781755e-07
-2312,8.74051067049477e-06
-2311,4.69260518165737e-07
-2310,1.01008492894678e-07
-2309,4.76742032159523e-08
-2308,NA
-2307,2.91490644036345e-08
-2306,4.87989903326097e-09
-2305,2.18340342082546e-08
-2304,3.9443301952227e-08
-2303,1.01556415441412e-06
-2302,2.26022120822521e-08
-2301,2.12638108352956e-06
-2300,6.99683047726365e-07
-2299,3.18939408299445e-07
-2298,9.43120007162562e-08
-2297,6.28890770978746e-08
-2296,8.55584111507454e-09
-2295,NA
-2294,8.7392331467659e-08
-2293,6.64461742772417e-08
-2292,1.08312581180135e-07
-2291,3.34653294276235e-08
-2290,2.9157697808952e-06
-2289,1.5370811973518e-08
-2288,NA
-2287,5.36152528583673e-08
-2286,2.31597895762608e-08
-2285,4.38674520636066e-08
-2284,6.77954855130172e-08
-2283,2.35099520342223e-08
-2282,1.7196805063551e-07
-2281,NA
-2280,2.46328487227966e-07
-2279,7.71830279574171e-08
-2278,3.43551054305318e-08
-2277,1.09745237790125e-07
-2276,NA
-2275,1.31834865999159e-06
-2274,3.31205631811041e-08
-2273,6.5825801400572e-09
-2272,1.18380375012816e-06
-2271,4.37579525994765e-08
-2270,1.4165383719834e-07
-2269,1.26353957032938e-08
-2268,7.34589045530152e-07
-2267,1.84998474791435e-07
-2266,1.09439944137523e-08
-2265,NA
-2264,NA
-2263,8.11641917590035e-09
-2262,2.91654319435494e-07
-2261,9.13881367043922e-06
-2260,3.46330860481059e-06
-2259,2.20971570883498e-07
-2258,3.51798153051837e-07
-2257,1.60313372353723e-07
-2256,3.33441808008253e-08
-2255,2.03393024391595e-07
-2254,NA
-2253,4.9939730506178e-06
-2252,3.76083722855027e-08
-2251,1.98448374568614e-09
-2250,NA
-2249,1.42772691969748e-06
-2248,8.92572951208333e-09
-2247,5.03189232429776e-07
-2246,2.06720327305029e-07
-2245,7.84797959564443e-08
-2244,3.82406722187471e-08
-2243,NA
-2242,2.4108981472117e-08
-2241,2.42083990972951e-08
-2240,1.06436899431197e-07
-2239,1.53200806945674e-08
-2238,2.78759385917727e-07
-2237,1.38414525520581e-08
-2236,1.37487316131e-07
-2235,3.21401305428162e-06
-2234,4.0917766734966e-08
-2233,3.97581924437024e-08
-2232,2.14573562265344e-06
-2231,5.44074962978458e-08
-2230,4.54042479447495e-09
-2229,8.79664877405095e-07
-2228,1.9553977352486e-06
-2227,1.38856613034348e-07
-2226,NA
-2225,2.12390720420271e-06
-2224,3.35957264302625e-07
-2223,3.19713318106124e-08
-2222,NA
-2221,3.32056622433603e-09
-2220,3.97103487463356e-06
-2219,3.02725017022992e-07
-2218,1.37446869685239e-08
-2217,3.41687996091391e-08
-2216,1.14211259366816e-07
-2215,6.08201989662119e-08
-2214,1.14327848014333e-07
-2213,2.3612864387381e-08
-2212,NA
-2211,2.13192315351458e-07
-2210,1.60387510429803e-07
-2209,7.44078615595542e-06
-2208,1.45718203903416e-06
-2207,6.06218657674509e-07
-2206,1.91499182670847e-07
-2205,9.62822099734937e-07
-2204,2.57510736915688e-07
-2203,1.8231915769651e-10
-2202,2.11143487429125e-07
-2201,3.75945274996811e-06
-2200,9.89453775091817e-08
-2199,1.85480902777561e-08
-2198,NA
-2197,2.87484013951781e-06
-2196,2.26338026181087e-08
-2195,5.775690374624e-06
-2194,5.227970736558e-06
-2193,5.12240173399435e-06
-2192,3.01656750060454e-08
-2191,5.73971010523607e-07
-2190,NA
-2189,2.63947398551535e-06
-2188,9.24860652557668e-08
-2187,2.90538679395348e-06
-2186,3.9914049046124e-07
-2185,9.67267593350153e-07
-2184,1.51820888759199e-07
-2183,1.32691378012943e-07
-2182,3.15540671193181e-07
-2181,1.06445841837467e-06
-2180,2.79738888871553e-06
-2179,1.27144146019785e-06
-2178,1.69201993686314e-07
-2177,1.27394878298155e-06
-2176,1.12651575312797e-07
-2175,6.47734594921494e-08
-2174,7.37629110816149e-07
-2173,2.28756964961294e-07
-2172,1.02453106489881e-07
-2171,2.31677247605154e-06
-2170,2.84100450383735e-08
-2169,8.83946757391268e-08
-2168,2.4599575353777e-06
-2167,1.45306439314974e-07
-2166,8.41622209461573e-09
-2165,1.09703034205421e-06
-2164,9.63024866788495e-07
-2163,2.52723903349452e-07
-2162,7.67109814089184e-08
-2161,2.4695233494959e-07
-2160,1.08813888723436e-07
-2159,2.63831237170455e-06
-2158,1.33124963295229e-07
-2157,4.72420182816098e-08
-2156,3.12826127935598e-07
-2155,9.73316543070303e-07
-2154,1.65609393470558e-06
-2153,3.83967418818389e-07
-2152,8.81251982857671e-07
-2151,2.64354569515702e-06
-2150,1.63818608383006e-07
-2149,2.02239309242736e-07
-2148,8.46569012376772e-07
-2147,2.14055955440242e-06
-2146,2.69246512371467e-07
-2145,1.40451552607115e-06
-2144,2.32334641987982e-06
-2143,3.10223436012566e-07
-2142,7.80471832143478e-07
-2141,1.85528032105934e-06
-2140,1.14251420579648e-07
-2139,1.76970426184979e-06
-2138,1.99132650447787e-08
-2137,2.02997345420507e-06
-2136,3.4575787857672e-08
-2135,1.28257875540623e-07
-2134,1.856544833326e-06
-2133,3.30381392627977e-07
-2132,1.58246862071771e-06
-2131,1.78247407585466e-06
-2130,1.87829171466479e-06
-2129,3.78570458379519e-07
-2128,2.39295134595795e-07
-2127,1.68862313174152e-06
-2126,2.00864184301947e-06
-2125,6.10213046602747e-07
-2124,1.43363745482965e-06
-2123,7.78397880457112e-07
-2122,1.98772039865988e-06
-2121,3.73602298388497e-08
-2120,5.46457401156541e-07
-2119,2.40165350854682e-06
-2118,3.27057573798339e-06
-2117,9.8083858075176e-07
-2116,2.04613568491493e-06
-2115,1.13900261930066e-06
-2114,1.73755004206821e-06
-2113,1.05968863018254e-06
-2112,3.20086385080601e-07
-2111,2.98313221661432e-07
-2110,5.59428741497271e-07
-2109,1.22100434942063e-05
-2108,5.83139026296368e-06
-2107,6.51286206676054e-07
-2106,2.95058975749637e-07
-2105,3.72530043343904e-07
-2104,1.26753336849234e-06
-2103,4.06824663388128e-07
-2102,5.82060849165543e-07
-2101,3.02440876582744e-06
-2100,5.15742994520779e-07
-2099,2.59232891728178e-07
-2098,1.78021963825026e-07
-2097,4.33283820320885e-06
-2096,8.80302770688416e-07
-2095,3.16870377849234e-06
-2094,6.78046959055131e-06
-2093,7.18801056715e-07
-2092,2.03153526792889e-07
-2091,2.18776622503713e-07
-2090,4.16440002557086e-07
-2089,1.54793075820845e-06
-2088,1.79046257064999e-05
-2087,3.75550644254135e-07
-2086,8.19684186861537e-07
-2085,2.02825109577374e-05
-2084,5.98924080762146e-07
-2083,1.05810275490107e-06
-2082,8.10464271242265e-07
-2081,8.23981481566505e-07
-2080,1.51796952563508e-06
-2079,8.45703105685556e-07
-2078,2.51655820882651e-06
-2077,8.34106209973849e-07
-2076,2.70892343507955e-06
-2075,1.96437752035655e-07
-2074,4.38682556928107e-06
-2073,3.79672002551832e-06
-2072,1.86927041744337e-06
-2071,1.34693374875706e-06
-2070,2.50596518218529e-06
-2069,1.82075565651974e-06
-2068,7.40289226425858e-07
-2067,1.44630538574673e-06
-2066,6.30186656551411e-06
-2065,1.83996672577042e-06
-2064,1.89606363024067e-06
-2063,4.86641015671631e-07
-2062,1.73778139675866e-05
-2061,2.10967675821671e-06
-2060,3.49093397145821e-06
-2059,2.56195867134512e-06
-2058,4.53020499272732e-06
-2057,2.47990191558747e-06
-2056,1.48412640503656e-06
-2055,2.18685162138153e-06
-2054,2.11144198845854e-07
-2053,3.398082290678e-06
-2052,3.19174135700119e-06
-2051,2.48363341511022e-06
-2050,1.71940537473147e-06
-2049,2.63548233966387e-06
-2048,2.13238299048016e-06
-2047,2.09747989125192e-06
-2046,2.15334034972543e-06
-2045,2.40273743965082e-06
-2044,1.7243474662519e-05
-2043,2.05808206770586e-06
-2042,2.93794439141878e-06
-2041,1.3087519352381e-06
-2040,2.55279702835785e-06
-2039,4.32187427783838e-06
-2038,1.3913027854511e-06
-2037,2.77327959262836e-06
-2036,2.54575353556492e-06
-2035,1.20169134141457e-05
-2034,3.41768748691773e-06
-2033,9.72172152201514e-07
-2032,4.32787271800524e-06
-2031,3.82966777694602e-06
-2030,2.22542310663446e-06
-2029,1.60106571217795e-06
-2028,2.2807930987322e-06
-2027,1.72557932819924e-06
-2026,1.90015187069208e-06
-2025,1.53080940180644e-06
-2024,3.53649954287964e-06
-2023,4.988819999441e-06
-2022,1.05675012463924e-05
-2021,8.76271348678144e-06
-2020,6.44102340727361e-06
-2019,7.33096712091133e-06
-2018,6.2154277989717e-06
-2017,5.34048738316233e-06
-2016,1.04484520182479e-05
-2015,3.02231967947625e-06
-2014,5.3614038984835e-06
-2013,3.93374287007805e-06
-2012,5.01266106984658e-06
-2011,4.29754003526745e-06
-2010,6.86053803789158e-06
-2009,6.58775656698343e-06
-2008,2.00877537459668e-05
-2007,1.61945315589975e-06
-2006,9.40121534232606e-06
-2005,9.69096109614322e-06
-2004,1.87475419431479e-06
-2003,4.7949639239335e-06
-2002,6.08963084770471e-06
-2001,1.04586321267885e-05
-2000,1.80543077089301e-05
-1999,1.35336006891652e-05
-1998,5.46849216897443e-06
-1997,5.85637958637258e-06
-1996,9.8577703752243e-06
-1995,1.40353118589931e-05
-1994,1.31966388423194e-05
-1993,1.96939943728947e-05
-1992,8.24489538064439e-06
-1991,1.02041294458562e-05
-1990,4.48643200585409e-06
-1989,1.19084470428295e-05
-1988,6.61953233715108e-06
-1987,6.25601899366454e-06
-1986,9.69562428811822e-06
